Year,Canada(Ha),USA(Ha),Total(Ha),Temp_Needle_Forest,Subp_Needle_Forest,Trop_Ever_Forest,Trop_Deci_Forest,Temp_Deci_Forest,Mix_Forest,Trop_Shrub,Temp_Shrub,Trop_Grass,Temp_Grass,Subp_Shrub,Subp_Grass,Subp_moss,Wetland,Cropland,Barren,Urban,Water,Ice
2024,4904399.4,3611851.1,8516250.5,3679133,483326,102807,478,243430,413798,87922,980584,21113,1074727,13134,12478,109,1228458,52223,17434,34047,71049,0
2023,14635834.5,1090210.4,15726045,8814192,545718,20382,122,159145,885429,76966,1475964,20004,1076099,140686,159396,165,2069775,20483,23517,26836,211160,6
2022,1458825.9,3066443.9,4525269.9,2100732,124331,105979,1334,175238,151049,60581,922163,22288,443624,13705,11065,351,256788,58181,9850,29574,38394,42
2021,3918403.8,2883708.2,6802112.1,4097387,69629,103546,603,231149,144614,140781,702087,14793,561351,12180,3402,8,552823,35167,19117,49834,63639,3
2020,206965.6,4096453.3,4303418.8,1685852,5202,89609,204,98051,123834,333113,1182578,31791,476780,3273,394,47,142685,49150,6809,63701,10218,125
2019,1603690.6,1887642.3,3491332.9,1565265,41104,64599,339,131693,242303,104046,527793,8488,302145,5491,3614,0,430268,8333,5695,17244,32911,1
2018,1859210.4,3548155.4,5407365.8,2348527,16061,95720,279,184891,138782,86300,1248340,18690,845282,6436,4792,2356,248675,48283,19095,58873,35978,7
2017,3048946.6,4057501.4,7106448.1,3129180,145379,131027,951,114542,103168,122872,1012956,70205,1563090,28041,15814,3429,470400,53905,26865,51147,63472,5
2016,1213692.5,2229864.4,3443557,1100815,99554,69949,377,169522,193132,15328,217403,96971,1198351,4393,14992,98,156624,32365,10754,32477,30452,0
2015,3351797.5,4097591.7,7449389.2,2230442,53972,60976,266,143459,139757,15530,1123171,24449,2752415,8870,7244,167,736827,19492,31494,29556,71300,2
2014,3854595,1455124.6,5309719.6,1204173,131640,91933,414,83565,52140,13445,314435,21326,2686751,12903,26574,87,445952,20771,47858,28251,127502,0
2013,3827602,1748096.3,5575698.3,814347,21267,98435,340,74801,44601,14868,757808,50452,3211128,5324,29598,1446,307453,5089,23971,20149,94602,20
2012,1637778.6,3774276.8,5412055.4,725050,34154,44238,1463,87435,29800,27143,517769,46893,3386873,43107,22292,503,337501,27579,30166,22452,27639,0
2011,1930165.3,3525441.9,5455607.3,721426,8727,127159,9363,121852,89137,169033,631391,640505,2180858,5613,14177,454,574788,56556,14478,42390,47702,0
2010,2825624.8,1385157.4,4210782.2,578497,9073,180459,1896,84957,66055,39114,619241,41055,2044281,47865,16948,107,306690,20939,32606,24841,96156,1
2009,770881.5,2396514,3167395.4,404030,1160,104339,2791,86850,38929,211373,887821,72250,852687,3851,1043,20,402812,28244,19175,24361,25658,2
2008,1395351.5,2141832.5,3537184,612761,23728,142763,2792,38700,31363,291590,683289,123702,1060016,954,2105,19,395410,24222,8227,40879,54662,4
